paragraph_id,content
Tennis-Grip,"<font color=""blue"">Question</font>: What is the way a racquet is held to hit shots called?<br/><font color=""blue"">Sentence(s)</font>: A grip is a way of holding the racquet in order to hit shots during a match."
Human_swimming-Accessories,"<font color=""blue"">Question</font>: What keeps the body streamlined and protect the hair from chlorinated water?<br/><font color=""blue"">Sentence(s)</font>:  Swim caps keep the body streamlined and protect the hair from chlorinated water."
Volleyball-Team_play,"<font color=""blue"">Question</font>: Which sport contains Popular formations include the 4-2, 6-2, and 5-1 systems?<br/><font color=""blue"">Sentence(s)</font>: Popular formations include the 4-2, 6-2, and 5-1 systems (see ""Formations"", below)."
Golf-Stroke_play,"<font color=""blue"">Question</font>: Who wins under the sudden death rule in a playoff?<br/><font color=""blue"">Sentence(s)</font>: In sudden death, a player who scores lower on a hole than all of his opponents wins the match."
Badminton-Mixed_doubles,"<font color=""blue"">Question</font>: What is the ideal position in mixed doubles?<br/><font color=""blue"">Sentence(s)</font>: In mixed doubles, both pairs typically try to maintain an attacking formation with the woman at the front and the man at the back."
Snowboarding-Alpine_Snowboarding,"<font color=""blue"">Question</font>: What equipment is used in Alpine snowboarding?<br/><font color=""blue"">Sentence(s)</font>: Alpine Snowboard equipment is a ski-like hardshell boot and plate binding system with a true directional snowboard that is stiffer and narrower to manage linking turns with greater forces and speed."
Fencing-Other_variants,"<font color=""blue"">Question</font>: What is similar to wheelchair fencing but for the able bodied?<br/><font color=""blue"">Sentence(s)</font>: Chair fencing is similar to wheelchair fencing but for the able bodied."
Archery-Mounted_archery,"<font color=""blue"">Question</font>: What type of bow is more useful when on horseback?<br/><font color=""blue"">Sentence(s)</font>: Shorter bows are more suited to use on horseback, and the composite bow enabled mounted archers to use powerful weapons."
Wrestling-Lucha_libre,"<font color=""blue"">Question</font>: What is another name for Mexican professional wrestling?<br/><font color=""blue"">Sentence(s)</font>: Mexican professional wrestling, also known as ""Lucha libre"" is a style of wrestling that combines mixed-martial arts and the wrestling of North America."
Boxing-Counter_puncher,"<font color=""blue"">Question</font>: What is an advantage of counter hitting?<br/><font color=""blue"">Sentence(s)</font>: A large advantage in counter-hitting is the forward momentum of the attacker, which drives them further into your return strike."
Marathon-Modern_Olympics_marathon,"<font color=""blue"">Question</font>: When did the modern Olympics began?<br/><font color=""blue"">Sentence(s)</font>: When the modern Olympics began in 1896, the initiators and organizers were looking for a great popularizing event, recalling the ancient glory of Greece."
Taekwondo-Abstract,"<font color=""blue"">Question</font>: How many main styles of taekwondo are there?<br/><font color=""blue"">Sentence(s)</font>: Sport taekwondo is in turn subdivided into two main styles."
Judo-Organizations,"<font color=""blue"">Question</font>: When was the International Judo Federation(IJF) Founded?<br/><font color=""blue"">Sentence(s)</font>: The international governing body for judo is the International Judo Federation (IJF), founded in 1951."
Table_tennis-Corkspin,"<font color=""blue"">Question</font>: To impart a spin on the ball which is parallel to its trajectory, how must the racket be swung?<br/><font color=""blue"">Sentence(s)</font>: To impart a spin on the ball which is parallel to its trajectory, the racket must be swung more or less perpendicular to the trajectory of the ball."
United_States-Foreign_relations,"<font color=""blue"">Question</font>: Where do most countries have embassies in the US?<br/><font color=""blue"">Sentence(s)</font>: Almost all countries have embassies in Washington, D.C., and many have consulates around the country."
China-Internationalization_of_the_renminbi,"<font color=""blue"">Question</font>: What year did Russia begin using Chinese renminbi in it's trade?<br/><font color=""blue"">Sentence(s)</font>: In November 2010, Russia began using the Chinese renminbi in its bilateral trade with China."
Russia-Energy,"<font color=""blue"">Question</font>: how many rubles does the Russian government plan to allocate to develop the next generation of nuclear energy technology?<br/><font color=""blue"">Sentence(s)</font>: The Russian government plans to allocate 127 billion rubles ($5.42 billion) to a federal program dedicated to the next generation of nuclear energy technology."
England-Law,"<font color=""blue"">Question</font>: What is the highest court for criminal and civil cases in England and Wales?<br/><font color=""blue"">Sentence(s)</font>: The Supreme Court of the United Kingdom is the highest court for criminal and civil cases in England and Wales."
France-Administrative_divisions,"<font color=""blue"">Question</font>: How many administrative regions is France divided into?<br/><font color=""blue"">Sentence(s)</font>: France is divided into 27 administrative regions, 22 in metropolitan France (including the territorial collectivity of Corsica), and five located overseas."
South_Korea-Religion,"<font color=""blue"">Question</font>: Freedom of religion is guaranteed by what?<br/><font color=""blue"">Sentence(s)</font>: Today, freedom of religion is guaranteed by the constitution, and there is no state religion.Christianity is South Korea's largest religion, accounting for more than half of all South Korean religious adherents."
Japan-Culture,"<font color=""blue"">Question</font>: How many Japanese sites have been inscribed on the UNESCO World Heritage List?<br/><font color=""blue"">Sentence(s)</font>: Sixteen sites have been inscribed on the UNESCO World Heritage List, twelve of which are of cultural significance."
India-Culture,"<font color=""blue"">Question</font>: In what time period were the foundations of Hindu literature laid?<br/><font color=""blue"">Sentence(s)</font>: During the Vedic period (c. 1700 – 500 BCE), the foundations of Hindu philosophy, mythology, and literature were laid, and many beliefs and practices which still exist today, such as ""dhárma"", ""kárma"", ""yóga"", and ""mokṣa"", were established."
Indonesia-Geography,"<font color=""blue"">Question</font>: How many active volcanoes does Indonesia have?<br/><font color=""blue"">Sentence(s)</font>: Indonesia has at least 150 active volcanoes, including Krakatoa and Tambora, both famous for their devastating eruptions in the 19th century."
Brazil-Abstract,"<font color=""blue"">Question</font>: What is Brazil's official name?<br/><font color=""blue"">Sentence(s)</font>: Brazil (, ), officially the Federative Republic of Brazil (, ), is the largest country in both South America and the Latin American region."
Pakistan-Kashmir_conflict,"<font color=""blue"">Question</font>: On what legal grounds does India claim the region of Kashmir?<br/><font color=""blue"">Sentence(s)</font>: India claims Kashmir on the basis of the Instrument of Accession, a legal agreement with Kashmir's leaders executed by Maharaja Hari Singh, then ruler of Kashmir, agreeing to accede the area to India."
Nigeria-Ethno-linguistic_groups,"<font color=""blue"">Question</font>: Where do most minorities in Nigeria reside?<br/><font color=""blue"">Sentence(s)</font>: These minorities mostly reside in major cities such as Lagos and Abuja, or in the Niger Delta as employees for the major oil companies."
Mexico-Science_and_technology,"<font color=""blue"">Question</font>: What year was the National Autonomous University of Mexico established<br/><font color=""blue"">Sentence(s)</font>: The National Autonomous University of Mexico was officially established in 1910, and the university become one of the most important institutes of higher learning in Mexico."
Vietnam-1976–present:_reunification_and_reforms,"<font color=""blue"">Question</font>: How many South Vietnamese were executed in killings?<br/><font color=""blue"">Sentence(s)</font>: Between 100,000 and 200,000 South Vietnamese were executed in extrajudicial killings; another 50,000 died performing hard labor in ""New Economic Zones""."
Egypt-Abstract,"<font color=""blue"">Question</font>: What is a major component of Egypt's economy?<br/><font color=""blue"">Sentence(s)</font>: Egypt's rich cultural legacy, as well as the attraction of its Red Sea Riviera, have made tourism a vital part of the economy, employing about 12 percent of the country's workforce.The economy of Egypt is one of the most diversified in the Middle East, with sectors such as tourism, agriculture, industry and services at almost equal production levels."
Turkey-Geography,"<font color=""blue"">Question</font>: The fault lines that led to the creation of the Black Sea contributed to the creation of what other geologic features of Turkey?<br/><font color=""blue"">Sentence(s)</font>: The Bosphorus and the Dardanelles owe their existence to the fault lines running through Turkey that led to the creation of the Black Sea."
Germany-Health,"<font color=""blue"">Question</font>: In 2005, how did Germany spend of its GDP on health care?<br/><font color=""blue"">Sentence(s)</font>: In 2005, Germany spent 11% of its GDP on health care."
Thailand-28_June_1932,"<font color=""blue"">Question</font>: What does Khana Ratsadon mean in English?<br/><font color=""blue"">Sentence(s)</font>: However on 24 June 1932 a group of civilians and military officers, calling themselves the Khana Ratsadon (or People's Party) carried out a bloodless revolution, in which the 150 years of absolute rule of the House of Chakri was ended."
Italy-Architecture,"<font color=""blue"">Question</font>: What are some examples of fine works of Western architecture that can be found in Italy?<br/><font color=""blue"">Sentence(s)</font>: Several of the finest works in Western architecture, such as the Colosseum, the Milan Cathedral and Florence cathedral, the Leaning Tower of Pisa and the building designs of Venice are found in Italy.Italian architecture has also widely influenced the architecture of the world."
Canada-Abstract,"<font color=""blue"">Question</font>: On what date did three British colonies joined to form the federal dominion of Canada?<br/><font color=""blue"">Sentence(s)</font>: On July 1, 1867, three British colonies joined to form the federal dominion of Canada."
Spain-Music_and_dance,"<font color=""blue"">Question</font>: How man professional orchestras does Spain have?<br/><font color=""blue"">Sentence(s)</font>: In Spain there are over forty professional orchestras, including the Orquestra Simfònica de Barcelona, Orquesta Nacional de España and the Orquesta Sinfónica de Madrid."
The_Lord_of_the_Rings-Publication_history,"<font color=""blue"">Question</font>: Why didn't Tolkien like the title ""The Return of the King""<br/><font color=""blue"">Sentence(s)</font>: Tolkien, moreover, did not especially like the title ""The Return of the King"", believing it gave away too much of the storyline."
