paragraph_id,content
All_I_Want_for_Christmas_Is_You-Critical_reception,"<font color=""blue"">Question</font>: Who said in 2006 that ""All I Want for Christmas"" was one of Carey's biggest accomplishments?<br/><font color=""blue"">Sentence(s)</font>: In a 2006 retrospective look at Carey's career, Sasha Frere-Jones of ""The New Yorker"" said, the ""charming"" song was one of Carey's biggest accomplishments, calling it ""one of the few worthy modern additions to the holiday canon""."
Jingle_Bell_Rock-In_popular_culture,"<font color=""blue"">Question</font>: In the ending of which computer game DLC is ""Jingle Bell Rock"" used?<br/><font color=""blue"">Sentence(s)</font>:  The song is used in the ending of the """"How the Saints Save Christmas"""" downloadable content for ""Saints Row IV""."
"Have_Yourself_a_Merry_Little_Christmas-""The_Victors""","<font color=""blue"">Question</font>: Who's real-life execution inspired the scene in the movie that used the song?<br/><font color=""blue"">Sentence(s)</font>: Eddie Slovik in 1945."
The_Christmas_Song-Parodies,"<font color=""blue"">Question</font>: Who sang ""Chipmunks Roasting On an Open Fire""?<br/><font color=""blue"">Sentence(s)</font>: Bob Rivers parodied the song with his 2000 album, and the title track from said album, ""Chipmunks Roasting On an Open Fire""."
Santa_Claus_Is_Coming_to_Town-Recordings,"<font color=""blue"">Question</font>: The first measurable hit was performned by who in 1951?<br/><font color=""blue"">Sentence(s)</font>: The 1951 version by Perry Como was the first measurable hit, and in 1963 the Four Seasons version charted at #23 on Billboard."
Prison_Break-Awards_and_nominations,"<font color=""blue"">Question</font>: When was Knepper nominated for the Satellite Award for Best Actor in a Supporting Rolein a Series?<br/><font color=""blue"">Sentence(s)</font>: In December 2006, Robert Knepper was nominated for the 2006 Satellite Award for Best Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television."
Friends-Conception,"<font color=""blue"">Question</font>: When was Family Album cancelled by CBS?<br/><font color=""blue"">Sentence(s)</font>: Production.Conception.David Crane and Marta Kauffman began developing three new television pilots that would premiere in 1994 after their sitcom ""Family Album"" was cancelled by CBS in 1993."
The_Big_Bang_Theory-DVD/Blu-ray_releases,"<font color=""blue"">Question</font>: What season had a gag reel?<br/><font color=""blue"">Sentence(s)</font>: All of the episodes from seasons 1 & 2 on Blu-ray received newly remastered surround-sound audio, with the first season sporting a never-before-seen gag reel, which was not included during the initial first season DVD release."
Teen_Wolf-Critical_response,"<font color=""blue"">Question</font>: What percent did rotten tomatoes give it?<br/><font color=""blue"">Sentence(s)</font>: Review aggregator Rotten Tomatoes reports that 47% of 19 critics have given the film a positive review, with a rating average of 4.8 out of 10.Vincent Canby of ""The New York Times"" gave the film a negative review calling it ""aggressively boring""."
Breaking_Bad-Spin-off,"<font color=""blue"">Question</font>: When did AMC show intrest in the spin off?<br/><font color=""blue"">Sentence(s)</font>: In April 2013, it was revealed that AMC and Sony were interested in a spin-off series that would focus on Saul Goodman (Bob Odenkirk), with Gilligan and series writer Peter Gould developing the project."
The_Vampire_Diaries-Series_overview,"<font color=""blue"">Question</font>: Why do both brother's show affection towards Elena?<br/><font color=""blue"">Sentence(s)</font>: Both brothers begin to show affection towards Elena, mainly because of her resemblance to their past love Katherine Pierce."
Doctor_Who-Abstract,"<font color=""blue"">Question</font>: Who is Doctor Who produced by?<br/><font color=""blue"">Sentence(s)</font>: Doctor Who is a British science-fiction television programme produced by the BBC."
Orange_Is_the_New_Black-Critical_reception,"<font color=""blue"">Question</font>: What was the Metacritic score for Season 1?<br/><font color=""blue"">Sentence(s)</font>: For Season 1, Metacritic gives a score of 79/100 based on reviews from 31 critics, indicating generally favorable reviews."
Pretty_Little_Liars-Overview,"<font color=""blue"">Question</font>: How many arcs is the series divided into?<br/><font color=""blue"">Sentence(s)</font>: The series is loosely divided into three arcs of four to five books each, chronicling the introduction and reveal of each ""A""."
Nurse_Jackie-Development_and_production,"<font color=""blue"">Question</font>: When was the fifth season ordered?<br/><font color=""blue"">Sentence(s)</font>: A fifth season was ordered on May 31, 2012, and production began in late 2012."
The_Office-Abstract,"<font color=""blue"">Question</font>: Whoo was the main character?<br/><font color=""blue"">Sentence(s)</font>: It starred Gervais as the boss and main character."
Parks_and_Recreation-Season_4,"<font color=""blue"">Question</font>: What happened first, Ben and Leslie ending their relationship or Ben becoming Leslie's campaign manager?<br/><font color=""blue"">Sentence(s)</font>: With Ben's encouragement, Leslie decides to run for city council, and the two end their relationship.</br>Ben agrees to be Leslie's campaign manager."
Gossip_Girl-International_adaptations,"<font color=""blue"">Question</font>: When did the filming of the Mexican adaptation of ""Gossip Girl"" begin?<br/><font color=""blue"">Sentence(s)</font>: Filming of the Mexican adaptation began in January 2013 with the series set to air in July 5, 2013 on Televisa."
Gilmore_Girls-Broadcast_history,"<font color=""blue"">Question</font>: Which channel aired the ""Gilmore Girls"" in United States?<br/><font color=""blue"">Sentence(s)</font>: In its syndicated release in the United States, the show airs on the ABC Family Channel, and from 2009-2013, aired in weekend timeslots on their sister network SOAPnet, which closed at the start of 2014."
The_Good_Wife-Premise,"<font color=""blue"">Question</font>: How many years was Alicia a stay-at-home mother?<br/><font color=""blue"">Sentence(s)</font>: Alicia returns to her old job as a litigator (having taken 13 years out to be a stay-at-home mother) to provide for her two children."
Family_Guy-Humor,"<font color=""blue"">Question</font>: Who oftes repeats ""Freakin' sweet"" on the ""Family Guy"" series?<br/><font color=""blue"">Sentence(s)</font>: Notable expressions include Quagmire's ""Giggity giggity goo"", Peter's ""Freakin' sweet"", and Joe's ""Bring it on!"""
South_Park-Recognitions_and_awards,"<font color=""blue"">Question</font>: How many times was ""South Park"" nominated for an Emmy Award for Outstanding Animated Program<br/><font color=""blue"">Sentence(s)</font>: ""South Park"" has been nominated for the Emmy Award for Outstanding Animated Program ten times (1998, 2000, 2002, 2004, 2005, 2006, 2007, 2009, 2010 and 2013)."
Stone_Mountain-History,"<font color=""blue"">Question</font>: When was the mountain the site of a meeting initiated by President Washington?<br/><font color=""blue"">Sentence(s)</font>: In 1790 the mountain was the site of a meeting initiated by President George Washington in hopes of negotiating a peace treaty with the Creek."
Niagara_Falls-Canadian_side,"<font color=""blue"">Question</font>: When was the Whirlpool Aero Car built?<br/><font color=""blue"">Sentence(s)</font>: Along with the Minolta Tower (formerly the Seagrams Tower and the Konica Minolta Tower, now called the Tower Hotel), it is one of two towers in Canada with a view of the falls.Along the Niagara River, the Niagara River Recreational Trail runs the 35 miles (56 km) from Fort Erie to Fort George, and includes many historical sites from the War of 1812.The Whirlpool Aero Car, built in 1916 from a design by Spanish engineer Leonardo Torres y Quevedo, is a cable car that takes passengers over the Niagara Whirlpool on the Canadian side."
Leaning_Tower_of_Pisa-Alternative_candidates,"<font color=""blue"">Question</font>: What is the degree of slope of the Capital Gate Tower<br/><font color=""blue"">Sentence(s)</font>: The Capital Gate tower has an 18-degree slope, almost five times more than the Pisa Tower; however the Capital Gate tower has been deliberately engineered to slant."
Eiffel_Tower-Abstract,"<font color=""blue"">Question</font>: How many steps lead to Eiffel Tower's first level?<br/><font color=""blue"">Sentence(s)</font>: The climb from ground level to the first level is over 300 steps, as is the walk from the first to the second level."
Machu_Picchu-Intimachay_and_the_Royal_Feast_of_the_Sun,"<font color=""blue"">Question</font>: How were young boys of nobility initiated into manhood?<br/><font color=""blue"">Sentence(s)</font>: On this day, boys of nobility would be initiated into manhood by conducting an ear-piercing ritual as they watched the sun rise from within the cave.Architecturally, Intimachay is the most significant structure located at Machu Picchu."
Disneyland-Abstract,"<font color=""blue"">Question</font>: How many jobs are supported by Disneyland?<br/><font color=""blue"">Sentence(s)</font>: According to a March 2005 report from the Disney Company, there are 65,700 jobs supported by the Disneyland Resort, which includes, at the Resort itself, 20,000 direct Disney employees and 3,800 third-party employees (that is, independent contractors or their employees)."
Great_Wall_of_China-Visibility_from_low_Earth_orbit,"<font color=""blue"">Question</font>: Who claimed to see the Great Wall from the space shuttle?<br/><font color=""blue"">Sentence(s)</font>: Senator Jake Garn claimed to be able to see the Great Wall with the naked eye from a space shuttle orbit in the early 1980s, but his claim has been disputed by several U.S. astronauts."
Victoria_Falls-National_parks,"<font color=""blue"">Question</font>: What is next to the Victoria Falls National Park?<br/><font color=""blue"">Sentence(s)</font>: Natural environment.National parks.The two national parks at the falls are relatively small—Mosi-oa-Tunya National Park is and Victoria Falls National Park is .</br>However, next to the latter on the southern bank is the Zambezi National Park, extending west along the river."
Yellowstone_National_Park-Geysers_and_the_hydrothermal_system,"<font color=""blue"">Question</font>: How many dead bison did biologists discovered on March 10, 2004?<br/><font color=""blue"">Sentence(s)</font>: On March 10, 2004, a biologist discovered 5 dead bison which apparently had inhaled toxic geothermal gases trapped in the Norris Geyser Basin by a seasonal atmospheric inversion."
Yosemite_National_Park-Habitats,"<font color=""blue"">Question</font>: Why is a relatively high diversity of wildlife species supported in Yosemite?<br/><font color=""blue"">Sentence(s)</font>: A relatively high diversity of wildlife species is supported by these habitats, because of relatively mild, lower-elevation climate and the mixture of habitat types and plant species."
Grand_Canyon-Upper_Sonoran_and_Transition,"<font color=""blue"">Question</font>: How many bird species breed in the coniferous forests of the Grand Canyon?<br/><font color=""blue"">Sentence(s)</font>: Of the approximately 90 bird species that breed in the coniferous forests, 51 are summer residents and at least 15 of these are known to be neotropical migrants."
Mount_Rushmore-Conservation,"<font color=""blue"">Question</font>: When was the site digitally recorded?<br/><font color=""blue"">Sentence(s)</font>: The site has been subsequently digitally recorded using a terrestrial laser scanning methodology in 2009 as part of the international Scottish Ten project, providing a record of unprecedented resolution and accuracy to inform the conservation of the site."
Space_Needle-Architecture,"<font color=""blue"">Question</font>: How many degrees does it rotate?<br/><font color=""blue"">Sentence(s)</font>: It rotates 360 degrees in exactly forty-seven minutes."
Statue_of_Liberty-Location_and_visiting,"<font color=""blue"">Question</font>: How can a person visiting be allowed to climb the staircase within the statue to the crown?<br/><font color=""blue"">Sentence(s)</font>: Those wishing to climb the staircase within the statue to the crown purchase a special ticket, which may be reserved up to a year in advance."
SeaWorld-History,"<font color=""blue"">Question</font>: How many parks did Anheuser-Busch buy from HBJ in 1989<br/><font color=""blue"">Sentence(s)</font>: Despite a long negotiation, Anheuser-Busch bought all six parks in 1989: SeaWorld in San Diego, Aurora, Orlando and San Antonio as well as Cypress Gardens in Winter Haven and Boardwalk and Baseball in Haines City."
Hersheypark-The_Hollow,"<font color=""blue"">Question</font>: What year wwas the parks first water ride installed?<br/><font color=""blue"">Sentence(s)</font>: The park's first water ride, the Mill Chute installed in 1929, was alongside the creek where Great Bear runs today."
Six_Flags-Beginnings,"<font color=""blue"">Question</font>: What are the different regions called?<br/><font color=""blue"">Sentence(s)</font>: The original park was (and still is) split into separate regions, such as the ""Spain and Mexico"" section which featured Spanish-themed rides, attractions, and buildings.The Six Flags chain originated in 1959 with the creation of ""The Great Southwest Corporation"" by Angus G. Wynne and other investors."
Stonehenge-Stonehenge_3_IV_(2280_BC_to_1930_BC),"<font color=""blue"">Question</font>: How was Stonehenge arranged at the center of the inner ring?<br/><font color=""blue"">Sentence(s)</font>: They were arranged in a circle between the two rings of sarsens and in an oval at the centre of the inner ring."
Colosseum-Abstract,"<font color=""blue"">Question</font>: Which emperor started the construction of Colosseum?<br/><font color=""blue"">Sentence(s)</font>: Construction began under the emperor Vespasian in 70 AD, and was completed in 80 AD under his successor and heir Titus."
Mona_Lisa-Abstract,"<font color=""blue"">Question</font>: Who was the Mona Lisa painted by?<br/><font color=""blue"">Sentence(s)</font>: The Mona Lisa (Monna Lisa or La Gioconda in Italian; La Joconde in French) is a half-length portrait of a woman by the Italian artist Leonardo da Vinci, which has been acclaimed as ""the best known, the most visited, the most written about, the most sung about, the most parodied work of art in the world."
Vincent_van_Gogh-Posthumous_fame,"<font color=""blue"">Question</font>: How much was Wheatfield with Cypresses sold for in 1993?<br/><font color=""blue"">Sentence(s)</font>: A Wheatfield with Cypresses was sold in 1993 for US$57 million, a spectacularly high price at the time, while his Self Portrait with Bandaged Ear was sold privately in the late 1990s for an estimated US$80/$90 million.A newly discovered painting by the Dutch artist was publicly unveiled on September 10, 2013, after it was retrieved from the attic of a Norwegian collector who misjudged the work as a fraud following its purchase in 1908."
Great_Sphinx_of_Giza-Origin_and_identity,"<font color=""blue"">Question</font>: What is the legend of the Sphinx called?<br/><font color=""blue"">Sentence(s)</font>: These questions have resulted in the popular idea of the ""Riddle of the Sphinx,"" alluding to the original Greek legend of the Riddle of the Sphinx."
The_Starry_Night-Subject_matter,"<font color=""blue"">Question</font>: Who is Van Gogh's brother?<br/><font color=""blue"">Sentence(s)</font>: Of note is the fact Van Gogh had already, during his time in Arles, repositioned Ursa Major from the north to the south in his painting ""Starry Night Over the Rhone"".In a letter to his brother Theo, Van Gogh wrote of it: "
The_Scream-Record_sale_at_auction,"<font color=""blue"">Question</font>: How much was ""The Card Players"" reportedly sold for?<br/><font color=""blue"">Sentence(s)</font>: There have been reports that ""The Card Players"", by Cézanne, sold privately for $250m in 2011, which can not be verified for the establishment of a record price."
The_Persistence_of_Memory-Description,"<font color=""blue"">Question</font>: What is the image of?<br/><font color=""blue"">Sentence(s)</font>: The well-known surrealist piece introduced the image of the soft melting pocket watch."
Last_Supper-Location,"<font color=""blue"">Question</font>: Where is the traditional location?<br/><font color=""blue"">Sentence(s)</font>: The traditional location is in an area that, according to archaeology, had a large Essene community, a point made by scholars who suspect a link between Jesus and the group (Kilgallen 265).Saint Mark's Syrian Orthodox Church in Jerusalem is another possible site for the room in which the Last Supper was held, and contains a Christian stone inscription testifying to early reverence for that spot."
American_Gothic-Abstract,"<font color=""blue"">Question</font>: In American Gothic painting who where the people modeled after?<br/><font color=""blue"">Sentence(s)</font>: The painting shows a farmer standing beside his spinster daughter."
Dora_Maar_au_Chat-History,"<font color=""blue"">Question</font>: How wide was the canvas?<br/><font color=""blue"">Sentence(s)</font>: The canvas (50 ½ by 37 ½ inches / 128.3 cm by 95.3 cm) was one of many portraits of Dora Maar painted by Pablo Picasso over their nearly decade-long relationship."
A_Sunday_Afternoon_on_the_Island_of_La_Grande_Jatte-In_popular_culture,"<font color=""blue"">Question</font>: Who created the ""Sunday In The Park With George"" musical?<br/><font color=""blue"">Sentence(s)</font>: The January 1974 ""Playboy"" magazine featured Nancy Cameron, its Playmate of the Month, on its cover superimposed on the painting in similar style.The painting was the basis for the 1984 Broadway musical ""Sunday In The Park With George"" by Stephen Sondheim and James Lapine."
Pablo_Picasso-Cubism,"<font color=""blue"">Question</font>: Who developed Analytic Cubism?<br/><font color=""blue"">Sentence(s)</font>: Analytic cubism (1909–1912) is a style of painting Picasso developed with Georges Braque using monochrome brownish and neutral colours."
Michelangelo-Madonna_and_Child,"<font color=""blue"">Question</font>: What was Michelangelo's earliest known work?<br/><font color=""blue"">Sentence(s)</font>: Works.Madonna and Child.The ""Madonna of the Steps"" is Michelangelo's earliest known work."
"Leonardo_da_Vinci-Old_age,_1513–19","<font color=""blue"">Question</font>: Where did the meeting of Francis I and Pope Leo X take place?<br/><font color=""blue"">Sentence(s)</font>: On December 19, Leonardo was present at the meeting of Francis I and Pope Leo X, which took place in Bologna."
Donatello-Work_in_Florence,"<font color=""blue"">Question</font>: What are the foreground figures done in?<br/><font color=""blue"">Sentence(s)</font>: The relief is mostly in ""stiacciato"", with the foreground figures are done in bas-relief."
The_Thinker-Casts,"<font color=""blue"">Question</font>: When was it moved to the Hot<br/><font color=""blue"">Sentence(s)</font>: In 1922, it was moved to the Hôtel Biron, which had been transformed into the Rodin Museum.The first cast sculpture can be found in front of Grawemeyer Hall on the University of Louisville Belknap Campus in Louisville, Kentucky."
Henry_Moore-World_War_Two,"<font color=""blue"">Question</font>: When  did Moore resign his teaching post?<br/><font color=""blue"">Sentence(s)</font>: At the outbreak of the Second World War the Chelsea School of Art was evacuated to Northampton and Moore resigned his teaching post."
Andy_Warhol-Death,"<font color=""blue"">Question</font>: Who was Warhol buried next to?<br/><font color=""blue"">Sentence(s)</font>: Warhol was buried next to his mother and father."
Salvador_Dalí-Dalí_museums_and_permanent_exhibitions,"<font color=""blue"">Question</font>: Where is the Dali permanent exhibit located?<br/><font color=""blue"">Sentence(s)</font>: Dalí, permanent exhibition - Berlin, Germany"
Jackson_Pollock-Early_life,"<font color=""blue"">Question</font>: Who encouraged Pollock to create art?<br/><font color=""blue"">Sentence(s)</font>: Henderson engaged him through his art, encouraging Pollock to make drawings."
Henri_Matisse-Books/essays,"<font color=""blue"">Question</font>: What year was Notes of a Painter released?<br/><font color=""blue"">Sentence(s)</font>:  Notes of a Painter, 1908"
Association_football-Governing_bodies,"<font color=""blue"">Question</font>: What does CONCACAF stand for?<br/><font color=""blue"">Sentence(s)</font>:  North/Central America & Caribbean: Confederation of North, Central American and Caribbean Association Football (CONCACAF)"
Football-Irish_and_Australian_varieties,"<font color=""blue"">Question</font>: What is the AFL?<br/><font color=""blue"">Sentence(s)</font>:  Australian rules football — officially known as ""Australian football"", and informally as ""football"", ""footy"" or ""Aussie rules""."
Baseball-Player_rosters,"<font color=""blue"">Question</font>: How many pitchers constitute the team's pitching rotation or starting rotation?<br/><font color=""blue"">Sentence(s)</font>: five starting pitchers who constitute the team's pitching rotation or starting rotation"
Basketball-Shooting,"<font color=""blue"">Question</font>: What is a brick?<br/><font color=""blue"">Sentence(s)</font>: A particularly bad shot, or one that only hits the backboard, is jocularly called a brick."
Tennis-Junior_tennis,"<font color=""blue"">Question</font>: How can Juniors earn money while playing Tennis?<br/><font color=""blue"">Sentence(s)</font>: Juniors may earn income from tennis by participating in the Future, Satellite, or Challenger tours."
Human_swimming-Abstract,"<font color=""blue"">Question</font>: How is locomotion achieved?<br/><font color=""blue"">Sentence(s)</font>: Locomotion is achieved through coordinated movement of the limbs, the body, or both."
Volleyball-Scoring,"<font color=""blue"">Question</font>: When were games renamed ""sets"" and reduced to 25 points to win?<br/><font color=""blue"">Sentence(s)</font>: For the 2008 season, games were renamed ""sets"" and reduced to 25 points to win."
Golf-Scoring,"<font color=""blue"">Question</font>: What is the goal of the game?<br/><font color=""blue"">Sentence(s)</font>: In every form of play, the goal is to play as few strokes per round as possible."
Badminton-Comparisons_of_technique,"<font color=""blue"">Question</font>: The wrist is not a muscle, it is what?<br/><font color=""blue"">Sentence(s)</font>: First, it is strictly speaking a category error: the wrist is a joint, not a muscle; the forearm muscles control its movement."
Snowboarding-Big_mountain_and_freeride,"<font color=""blue"">Question</font>: Where does Tailgate Alaska take place?<br/><font color=""blue"">Sentence(s)</font>: Snowboarders consider Alaska the pinnacle of this style of riding, being featured in some of the most popular snowboarding videos and has given rise to one of the sport's most popular events, Tailgate Alaska, a yearly gathering of riders on Alaska's Thompson Pass."
Fencing-Abstract,"<font color=""blue"">Question</font>: What is the most common version of fencing today?<br/><font color=""blue"">Sentence(s)</font>: The most common version of fencing today, also called olympic fencing or competitive fencing, is divided into three weapon categories: foil, sabre and épée."
Archery-Modern_competitive_archery,"<font color=""blue"">Question</font>: What is the most popular form of competitive archery worldwide?<br/><font color=""blue"">Sentence(s)</font>: This is the most popular form of competitive archery worldwide and is called target archery."
Wrestling-Abstract,"<font color=""blue"">Question</font>: How many parnters are required for wrestling?<br/><font color=""blue"">Sentence(s)</font>: A wrestling bout is a physical competition, between two (occasionally more) competitors or sparring partners, who attempt to gain and maintain a superior position."
Boxing-Professional_vs._amateur_boxing,"<font color=""blue"">Question</font>: When did amateur boxing become an Olympic sport?<br/><font color=""blue"">Sentence(s)</font>: The modern Olympic movement revived interest in amateur sports, and amateur boxing became an Olympic sport in 1908."
Marathon-After_a_marathon,"<font color=""blue"">Question</font>: How does one treat pain caused by DOMS<br/><font color=""blue"">Sentence(s)</font>: Various types of mild exercise or massage have been recommended to alleviate pain secondary to DOMS."
Taekwondo-Other_organizations,"<font color=""blue"">Question</font>: What is the AAU?<br/><font color=""blue"">Sentence(s)</font>: American Amateur Athletic Union (AAU) competitions are very similar, except that different styles of pads and gear are allowed.Apart from WTF and ITF tournaments, major taekwondo competitions (all featuring WTF taekwondo only) include:"
Shooting-Abstract,"<font color=""blue"">Question</font>: Where can shooting take place?<br/><font color=""blue"">Sentence(s)</font>: Shooting can take place in a shooting range or in the field in hunting, in shooting sports, or in combat."
Judo-Judo_versus_Jujutsu,"<font color=""blue"">Question</font>: Who renamed Judo?<br/><font color=""blue"">Sentence(s)</font>: Thus Kano renamed it ."
Table_tennis-Chop,"<font color=""blue"">Question</font>: How can you identify a good ""chop?""<br/><font color=""blue"">Sentence(s)</font>: A good chop will float nearly horizontally back to the table, in some cases having so much backspin that the ball actually ""rises""."
United_States-Sports,"<font color=""blue"">Question</font>: How many olympic medals did the USA win during the summer olympic games?<br/><font color=""blue"">Sentence(s)</font>: The United States has won 2,400 medals at the Summer Olympic Games, more than any other country, and 281 in the Winter Olympic Games, the second most by 2014."
China-Ethnic_groups,"<font color=""blue"">Question</font>: How many different ethnic groups are officially recognized in China?<br/><font color=""blue"">Sentence(s)</font>: China officially recognizes 56 distinct ethnic groups, the largest ofwhich are the Han Chinese, who constitute about 91.51% of the totalpopulation."
Russia-Geography,"<font color=""blue"">Question</font>: Is Russia the largest country in the world?<br/><font color=""blue"">Sentence(s)</font>: Russia is the largest country in the world; its total area is ."
England-Economy,"<font color=""blue"">Question</font>: How much is England's average GDP per capita?<br/><font color=""blue"">Sentence(s)</font>: England's economy is one of the largest in the world, with an average GDP per capita of £22,907."
France-Cinema,"<font color=""blue"">Question</font>: Who is the leader in filmmaking in Europe?<br/><font color=""blue"">Sentence(s)</font>: France remains a leader in filmmaking, as of 2006 producing more films than any other European country."
South_Korea-Environment,"<font color=""blue"">Question</font>: How much faster then broadband will the next-gen network be?<br/><font color=""blue"">Sentence(s)</font>: The country – already the world's most wired – plans to build a nationwide next-generation network which will be 10 times faster than broadband facilities in order to reduce energy usage.The renewable portfolio standard program with renewable energy certificates runs from 2012 to 2022."
Japan-Infrastructure,"<font color=""blue"">Question</font>: How many shinkansen trains connect major cities?<br/><font color=""blue"">Sentence(s)</font>: Some 250 high-speed Shinkansen trains connect major cities and Japanese trains are known for their safety and punctuality."
India-Society,"<font color=""blue"">Question</font>: How is traditional Indian society defined?<br/><font color=""blue"">Sentence(s)</font>: Traditional Indian society is sometimes defined by social hierarchy."
Indonesia-Foreign_relations_and_military,"<font color=""blue"">Question</font>: With Whom does Indonesia maintain close relationships?<br/><font color=""blue"">Sentence(s)</font>: Indonesia maintains close relationships with its neighbors in Asia, and is a founding member of ASEAN and the East Asia Summit."
Brazil-Demographics,"<font color=""blue"">Question</font>: What is the population of Brazil as of 2008?<br/><font color=""blue"">Sentence(s)</font>: The population of Brazil, as recorded by the 2008 PNAD, was approximately 190 million (), with a ratio of men to women of 0.95:1 and 83.75% of the population defined as urban."
Pakistan-Colonial_period,"<font color=""blue"">Question</font>: What led to the First Kashmir War?<br/><font color=""blue"">Sentence(s)</font>: Dispute over Jammu and Kashmir led to the First Kashmir War."
Nigeria-Democratization_(1999-),"<font color=""blue"">Question</font>: When did Umaru Yar'Adua come into power?<br/><font color=""blue"">Sentence(s)</font>: Umaru Yar'Adua of the People's Democratic Party (PDP) came into power in the general election of 2007 – an election that was witnessed and condemned by the international community as being severely flawed.Yar'Adua died on 5 May 2010."
Mexico-Culture,"<font color=""blue"">Question</font>: Who define Mexico to ""be the melting pot of all races?""<br/><font color=""blue"">Sentence(s)</font>: In light of the various ethnicities that formed the Mexican people, José Vasconcelos in his publication ""La Raza Cósmica"" (The Cosmic Race) (1925) defined Mexico to be the melting pot of all races (thus extending the definition of the ""mestizo"") not only biologically but culturally as well."
Vietnam-Administrative_subdivisions,"<font color=""blue"">Question</font>: How many municipalities are there in Vietnam?<br/><font color=""blue"">Sentence(s)</font>: There are also five municipalities (""thành phố trực thuộc trung ương""), which are administratively on the same level as provinces.The provinces are subdivided into provincial municipalities (""thành phố trực thuộc tỉnh""), townships (""thị xã"") and counties (""huyện""), which are in turn subdivided into towns (""thị trấn"") or communes (""xã"")."
Egypt-Ptolemaic_and_Roman_Egypt,"<font color=""blue"">Question</font>: Where was the Ptolemaic Kingdom located based on modern geography?<br/><font color=""blue"">Sentence(s)</font>: The Ptolemaic Kingdom was a powerful Hellenistic state, extending from southern Syria in the east, to Cyrene to the west, and south to the frontier with Nubia."
Turkey-Military,"<font color=""blue"">Question</font>: How many nuclear bombs are hosted at the Incirlik Air Base?<br/><font color=""blue"">Sentence(s)</font>: A total of 90 B61 nuclear bombs are hosted at the Incirlik Air Base, 40 of which are allocated for use by the Turkish Air Force in case of a nuclear conflict, but their use requires the approval of NATO.The Turkish Armed Forces consists of the Land Forces, the Naval Forces and the Air Force."
